K00895	pfp,_PFP;_diphosphate-dependent_phosphofructokinase_[EC:2.7.1.90]	00010_Glycolysis_/_Gluconeogenesis_[PATH:ko00010]|00030_Pentose_phosphate_pathway_[PATH:ko00030]|00051_Fructose_and_mannose_metabolism_[PATH:ko00051]
K03841	FBP,_fbp;_fructose-1,6-bisphosphatase_I_[EC:3.1.3.11]	00010_Glycolysis_/_Gluconeogenesis_[PATH:ko00010]|00030_Pentose_phosphate_pathway_[PATH:ko00030]|00051_Fructose_and_mannose_metabolism_[PATH:ko00051]|00680_Methane_metabolism_[PATH:ko00680]|00710_Carbon_fixation_in_photosynthetic_organisms_[PATH:ko00710]|04147_Exosome_[BR:ko04147]|04152_AMPK_signaling_pathway_[PATH:ko04152]|04910_Insulin_signaling_pathway_[PATH:ko04910]|04922_Glucagon_signaling_pathway_[PATH:ko04922]
K02446	glpX;_fructose-1,6-bisphosphatase_II_[EC:3.1.3.11]	00010_Glycolysis_/_Gluconeogenesis_[PATH:ko00010]|00030_Pentose_phosphate_pathway_[PATH:ko00030]|00051_Fructose_and_mannose_metabolism_[PATH:ko00051]|00680_Methane_metabolism_[PATH:ko00680]|00710_Carbon_fixation_in_photosynthetic_organisms_[PATH:ko00710]
K11532	glpX-SEBP;_fructose-1,6-bisphosphatase_II_/_sedoheptulose-1,7-bisphosphatase_[EC:3.1.3.11_3.1.3.37]	00010_Glycolysis_/_Gluconeogenesis_[PATH:ko00010]|00030_Pentose_phosphate_pathway_[PATH:ko00030]|00051_Fructose_and_mannose_metabolism_[PATH:ko00051]|00680_Methane_metabolism_[PATH:ko00680]|00710_Carbon_fixation_in_photosynthetic_organisms_[PATH:ko00710]
K01086	fbp-SEBP;_fructose-1,6-bisphosphatase_I_/_sedoheptulose-1,7-bisphosphatase_[EC:3.1.3.11_3.1.3.37]	00010_Glycolysis_/_Gluconeogenesis_[PATH:ko00010]|00030_Pentose_phosphate_pathway_[PATH:ko00030]|00051_Fructose_and_mannose_metabolism_[PATH:ko00051]|00680_Methane_metabolism_[PATH:ko00680]|00710_Carbon_fixation_in_photosynthetic_organisms_[PATH:ko00710]
K04041	fbp3;_fructose-1,6-bisphosphatase_III_[EC:3.1.3.11]	00010_Glycolysis_/_Gluconeogenesis_[PATH:ko00010]|00030_Pentose_phosphate_pathway_[PATH:ko00030]|00051_Fructose_and_mannose_metabolism_[PATH:ko00051]|00680_Methane_metabolism_[PATH:ko00680]|00710_Carbon_fixation_in_photosynthetic_organisms_[PATH:ko00710]
K01623	ALDO;_fructose-bisphosphate_aldolase,_class_I_[EC:4.1.2.13]	00010_Glycolysis_/_Gluconeogenesis_[PATH:ko00010]|00030_Pentose_phosphate_pathway_[PATH:ko00030]|00051_Fructose_and_mannose_metabolism_[PATH:ko00051]|00680_Methane_metabolism_[PATH:ko00680]|00710_Carbon_fixation_in_photosynthetic_organisms_[PATH:ko00710]|03036_Chromosome_and_associated_proteins_[BR:ko03036]|04066_HIF-1_signaling_pathway_[PATH:ko04066]|04131_Membrane_trafficking_[BR:ko04131]|04147_Exosome_[BR:ko04147]
K11645	fbaB;_fructose-bisphosphate_aldolase,_class_I_[EC:4.1.2.13]	00010_Glycolysis_/_Gluconeogenesis_[PATH:ko00010]|00030_Pentose_phosphate_pathway_[PATH:ko00030]|00051_Fructose_and_mannose_metabolism_[PATH:ko00051]|00680_Methane_metabolism_[PATH:ko00680]|00710_Carbon_fixation_in_photosynthetic_organisms_[PATH:ko00710]
K01624	FBA,_fbaA;_fructose-bisphosphate_aldolase,_class_II_[EC:4.1.2.13]	00010_Glycolysis_/_Gluconeogenesis_[PATH:ko00010]|00030_Pentose_phosphate_pathway_[PATH:ko00030]|00051_Fructose_and_mannose_metabolism_[PATH:ko00051]|00680_Methane_metabolism_[PATH:ko00680]|00710_Carbon_fixation_in_photosynthetic_organisms_[PATH:ko00710]
K01622	K01622;_fructose_1,6-bisphosphate_aldolase/phosphatase_[EC:4.1.2.13_3.1.3.11]	00010_Glycolysis_/_Gluconeogenesis_[PATH:ko00010]|00030_Pentose_phosphate_pathway_[PATH:ko00030]|00051_Fructose_and_mannose_metabolism_[PATH:ko00051]|00680_Methane_metabolism_[PATH:ko00680]
K16305	K16305;_fructose-bisphosphate_aldolase_/_6-deoxy-5-ketofructose_1-phosphate_synthase_[EC:4.1.2.13_2.2.1.11]	00010_Glycolysis_/_Gluconeogenesis_[PATH:ko00010]|00030_Pentose_phosphate_pathway_[PATH:ko00030]|00051_Fructose_and_mannose_metabolism_[PATH:ko00051]|00400_Phenylalanine,_tyrosine_and_tryptophan_biosynthesis_[PATH:ko00400]|00680_Methane_metabolism_[PATH:ko00680]
K16306	K16306;_fructose-bisphosphate_aldolase_/_2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate_synthase_[EC:4.1.2.13_2.2.1.10]	00010_Glycolysis_/_Gluconeogenesis_[PATH:ko00010]|00030_Pentose_phosphate_pathway_[PATH:ko00030]|00051_Fructose_and_mannose_metabolism_[PATH:ko00051]|00400_Phenylalanine,_tyrosine_and_tryptophan_biosynthesis_[PATH:ko00400]|00680_Methane_metabolism_[PATH:ko00680]
K01803	TPI,_tpiA;_triosephosphate_isomerase_(TIM)_[EC:5.3.1.1]	00010_Glycolysis_/_Gluconeogenesis_[PATH:ko00010]|00051_Fructose_and_mannose_metabolism_[PATH:ko00051]|00562_Inositol_phosphate_metabolism_[PATH:ko00562]|00710_Carbon_fixation_in_photosynthetic_organisms_[PATH:ko00710]|04147_Exosome_[BR:ko04147]
K00134	GAPDH,_gapA;_glyceraldehyde_3-phosphate_dehydrogenase_(phosphorylating)_[EC:1.2.1.12]	00010_Glycolysis_/_Gluconeogenesis_[PATH:ko00010]|00710_Carbon_fixation_in_photosynthetic_organisms_[PATH:ko00710]|04066_HIF-1_signaling_pathway_[PATH:ko04066]|04131_Membrane_trafficking_[BR:ko04131]|04147_Exosome_[BR:ko04147]|05010_Alzheimer_disease_[PATH:ko05010]|05130_Pathogenic_Escherichia_coli_infection_[PATH:ko05130]|05132_Salmonella_infection_[PATH:ko05132]|05415_Diabetic_cardiomyopathy_[PATH:ko05415]
K10705	GAPDHS;_glyceraldehyde-3-phosphate_dehydrogenase_(phosphorylating),_spermatogenic_[EC:1.2.1.12]	00010_Glycolysis_/_Gluconeogenesis_[PATH:ko00010]
K00150	gap2,_gapB;_glyceraldehyde-3-phosphate_dehydrogenase_(NAD(P)+)_(phosphorylating)_[EC:1.2.1.59]	00010_Glycolysis_/_Gluconeogenesis_[PATH:ko00010]|00710_Carbon_fixation_in_photosynthetic_organisms_[PATH:ko00710]
